Total Stock Market Index Fund Investor Shares (VTSMX) , , ,  
Holding details,2020-07-31
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"2536763","LOW","Lowe's Cos. Inc.",21460682,$3195710156.62,0.3458517377,"Home Improvement Retail","US",---
,"2005973","IBM","International Business Machines Corp.",25243920,$3103487524.8,0.3358710586,"IT Consulting & Other Services","US",---
,"2020459","HON","Honeywell International Inc.",19952218,$2980262802.66,0.322535217,"Industrial Conglomerates","US",---
,"2297907","C","Citigroup Inc.",59223926,$2961788539.26,0.320535863,"Diversified Banks","US",---
,"2517382","UPS","United Parcel Service Inc. Class B",20017678,$2857723711.28,0.309273577,"Air Freight & Logistics","US",---
,"2007849","AMD","Advanced Micro Devices Inc.",33295916,$2578102775.88,0.2790119508,"Semiconductors","US",---
,"2769796","FIS","Fidelity National Information Services Inc.",17563274,$2569682618.94,0.2781006898,"Data Processing & Outsourced Services","US",---
,"2522096","LMT","Lockheed Martin Corp.",6775572,$2567738520.84,0.2778902922,"Aerospace & Defense","US",---
,"2649100","WFC","Wells Fargo & Co.",104885157,$2544513908.82,0.2753768376,"Diversified Banks","US",---
,"2842255","SBUX","Starbucks Corp.",33212493,$2541752089.29,0.2750779431,"Restaurants","US",---
,"2369174","GILD","Gilead Sciences Inc.",35655673,$2479138943.69,0.2683017137,"Biotechnology","US",---
,"2595708","MMM","3M Co.",16350072,$2460195333.84,0.2662515652,"Industrial Conglomerates","US",---
,"BM5M5Y3","RTX","Raytheon Technologies Corp.",43105478,$2443218493.04,0.2644142678,"Aerospace & Defense","US",---
,"2108601","BA","Boeing Co.",15242452,$2408307416,0.2606360602,"Aerospace & Defense","US",---
,"BYV2325","SPGI","S&P Global Inc.",6846883,$2398120770.75,0.2595336232,"Financial Exchanges & Data","US",---
,"BZ6VT82","CHTR","Charter Communications Inc. Class A",4106809,$2381949220,0.2577834773,"Cable & Satellite","US",---
,"B80NXX8","NOW","ServiceNow Inc.",5418418,$2379769185.6,0.2575475458,"Systems Software","US",---
,"2494504","BLK","BlackRock Inc.",4119211,$2368587517.11,0.2563374237,"Asset Management & Custody Banks","US",---
,"2087807","BDX","Becton Dickinson and Co.",8381762,$2358124921.08,0.2552051224,"Health Care Equipment","US",---
,"2577609","CVS","CVS Health Corp.",37144587,$2337880305.78,0.2530141742,"Health Care Services","US",---
,"2871301","ISRG","Intuitive Surgical Inc.",3314175,$2271668112,0.2458484422,"Health Care Equipment","US",---
,"B8CKK03","MDLZ","Mondelez International Inc. Class A",40576018,$2251563238.82,0.2436726175,"Packaged Foods & Meats","US",---
,"B44WZD7","PLD","Prologis Inc.",20995881,$2213385775.02,0.2395409092,"Industrial REITs","US",---
,"2692632","MO","Altria Group Inc.",52832910,$2174074246.5,0.2352864681,"Tobacco","US",---
,"2459020","INTU","Intuit Inc.",7037161,$2155975015.57,0.2333277015,"Application Software","US",---
,"B95WG16","ZTS","Zoetis Inc.",13495286,$2046964980.48,0.2215302267,"Pharmaceuticals","US",---
,"2180201","CAT","Caterpillar Inc.",15389258,$2044924603.04,0.2213094094,"Construction Machinery & Heavy Trucks","US",---
,"2931034","VRTX","Vertex Pharmaceuticals Inc.",7375693,$2006188496,0.2171172426,"Biotechnology","US",---
,"BVLZX12","EQIX","Equinix Inc.",2516413,$1976592083.24,0.2139142078,"Specialized REITs","US",---
,"BTGQCX1","CCI","Crown Castle International Corp.",11847759,$1975021425.3,0.2137442253,"Specialized REITs","US",---
,"BSPHGL4","ANTM","Anthem Inc.",7164549,$1961653516.2,0.2122975001,"Managed Health Care","US",---
,"2407966","GS","Goldman Sachs Group Inc.",9784133,$1936866968.68,0.2096150069,"Investment Banking & Brokerage","US",---
,"BDRXDB4","BKNG","Booking Holdings Inc.",1163321,$1933590733.73,0.2092604405,"Internet & Direct Marketing Retail","US",---
,"2542049","D","Dominion Energy Inc.",23861525,$1933499370.75,0.2092505529,"Multi-Utilities","US",---
,"B94Q9V0","TMUS","T-Mobile US Inc.",17872300,$1919127574,0.2076951831,"Wireless Telecommunication Services","US",---
,"2209106","CL","Colgate-Palmolive Co.",24331692,$1878406622.4,0.203288209,"Household Products","US",---
,"2853688","SYK","Stryker Corp.",9600759,$1855826714.7,0.2008445267,"Health Care Equipment","US",---
,"BHJ0775","CI","Cigna Corp.",10484479,$1810564678.51,0.1959460994,"Health Care Services","US",---
,"2575818","ATVI","Activision Blizzard Inc.",21899342,$1809542629.46,0.1958354895,"Interactive Home Entertainment","US",---
,"2011602","APD","Air Products & Chemicals Inc.",6277942,$1799446515.46,0.1947428501,"Industrial Gases","US",---
,"2259101","TGT","Target Corp.",14208123,$1788518523.24,0.1935601818,"General Merchandise Stores","US",---
,"B7VD3F2","DUK","Duke Energy Corp.",20892120,$1770398248.8,0.1915991378,"Electric Utilities","US",---
,"2730190","REGN","Regeneron Pharmaceuticals Inc.",2723079,$1721176543.53,0.1862721803,"Biotechnology","US",---
,"2965839","CME","CME Group Inc.",10195527,$1694292676.86,0.1833627074,"Financial Exchanges & Data","US",---
,"2567741","MMC","Marsh & McLennan Cos. Inc.",14507927,$1691624288.2,0.1830739244,"Insurance Brokers","US",---
,"2046552","AMAT","Applied Materials Inc.",26036717,$1674942004.61,0.1812685051,"Semiconductor Equipment","US",---
,"2262314","MS","Morgan Stanley",33605117,$1642618118.96,0.1777702929,"Investment Banking & Brokerage","US",---
,"2829601","SO","Southern Co.",30040171,$1640493738.31,0.1775403845,"Electric Utilities","US",---
,"2342034","FISV","Fiserv Inc.",16182183,$1614820041.57,0.1747618808,"Data Processing & Outsourced Services","US",---
,"2026082","AXP","American Express Co.",17174684,$1602741510.88,0.1734546969,"Consumer Finance","US",---
,"2613990","ILMN","Illumina Inc.",4177713,$1596554800.08,0.1727851478,"Life Sciences Tools & Services","US",---
,"2989301","TJX","TJX Cos. Inc.",30650508,$1593519910.92,0.1724567007,"Apparel Retail","US",---
,"2588184","MU","Micron Technology Inc.",31623504,$1582914492.72,0.1713089426,"Semiconductors","US",---
,"2636607","NEM","Newmont Corp.",22818797,$1579060752.4,0.1708918764,"Gold","US",---
,"2261203","DE","Deere & Co.",8893365,$1567989183.15,0.1696936696,"Agricultural & Farm Machinery","US",---
,"2113434","BSX","Boston Scientific Corp.",40534156,$1563402396.92,0.1691972704,"Health Care Equipment","US",---
,"2502247","LRCX","Lam Research Corp.",4126518,$1556357528.88,0.1684348484,"Semiconductor Equipment","US",---
,"2160753","CSX","CSX Corp.",21766044,$1552789578.96,0.1680487115,"Railroads","US",---
,"2065308","ADP","Automatic Data Processing Inc.",11601980,$1542019161.8,0.1668830965,"Data Processing & Outsourced Services","US",---
,"2712013","GPN","Global Payments Inc.",8500383,$1513238181.66,0.1637683109,"Data Processing & Outsourced Services","US",---
,"2380498","GE","General Electric Co.",248648614,$1509297086.98,0.1633417909,"Industrial Conglomerates","US",---
,"BFSSDS9","ICE","Intercontinental Exchange Inc.",15569734,$1506838856.52,0.163075752,"Financial Exchanges & Data","US",---
,"2804211","SHW","Sherwin-Williams Co.",2323523,$1505457022.16,0.1629262047,"Specialty Chemicals","US",---
,"2705024","PGR","Progressive Corp.",16636019,$1502897956.46,0.162649253,"Property & Casualty Insurance","US",---
,"2457552","ITW","Illinois Tool Works Inc.",8074230,$1493651807.7,0.1616486001,"Industrial Machinery","US",---
,"2445063","HUM","Humana Inc.",3755386,$1473801235.7,0.1595002967,"Managed Health Care","US",---
,"2065159","ADSK","Autodesk Inc.",6222382,$1471157776.26,0.1592142116,"Application Software","US",---
,"2491839","KMB","Kimberly-Clark Corp.",9673242,$1470719713.68,0.1591668029,"Household Products","US",---
,"BKP7287","TFC","Truist Financial Corp.",38305072,$1434907997.12,0.1552911246,"Regional Banks","US",---
,"2736035","USB","US Bancorp",38574188,$1421073085.92,0.1537938586,"Diversified Banks","US",---
,"2641894","NSC","Norfolk Southern Corp.",7282729,$1399813341.09,0.1514930493,"Railroads","US",---
,"B3BQMF6","CB","Chubb Ltd.",10910769,$1388286247.56,0.150245544,"Property & Casualty Insurance","CH",---
,"2648806","NOC","Northrop Grumman Corp.",4264570,$1386027895.7,0.1500011367,"Aerospace & Defense","US",---
,"2567116","EW","Edwards Lifesciences Corp.",17607031,$1380567300.71,0.1494101706,"Health Care Equipment","US",---
,"2304227","ECL","Ecolab Inc.",7282019,$1362320114.52,0.1474353917,"Specialty Chemicals","US",---
,"B5B1S13","DG","Dollar General Corp.",7154332,$1362184812.8,0.1474207489,"General Merchandise Stores","US",---
,"BLP1HW5","AON","Aon plc Class A",6575282,$1349379372.04,0.146034896,"Insurance Brokers","IE",---
,"BYNZGK1","SQ","Square Inc.",10317677,$1339750358.45,0.1449928081,"Data Processing & Outsourced Services","US",---
,"2937667","WM","Waste Management Inc.",12049217,$1320594183.2,0.142919655,"Environmental & Facilities Services","US",---
,"2749602","ROP","Roper Technologies Inc.",2966407,$1282822707.15,0.1388318842,"Industrial Conglomerates","US",---
,"2455965","BIIB","Biogen Inc.",4641184,$1274886832.96,0.1379730341,"Biotechnology","US",---
,"2252058","MCO","Moody's Corp.",4528943,$1273991665.9,0.1378761558,"Financial Exchanges & Data","US",---
,"2085102","BAX","Baxter International Inc.",14412629,$1244962893.02,0.1347345531,"Health Care Equipment","US",---
,"B03GQS4","DLR","Digital Realty Trust Inc.",7628043,$1224606023.22,0.1325314563,"Specialized REITs","US",---
,"2026242","AEP","American Electric Power Co. Inc.",14095193,$1224590367.84,0.132529762,"Electric Utilities","US",---
,"2692665","PNC","PNC Financial Services Group Inc.",11468204,$1223313320.68,0.1323915552,"Regional Banks","US",---
,"2032067","ADI","Analog Devices Inc.",10475304,$1203088664.4,0.130202767,"Semiconductors","US",---
,"2310194","EA","Electronic Arts Inc.",8201574,$1161506909.88,0.1257026336,"Interactive Home Entertainment","US",---
,"BGSP7M9","ZM","Zoom Video Communications Inc. Class A",4523416,$1148540556.56,0.1242993662,"Application Software","US",---
,"B0796X4","DXCM","DexCom Inc.",2625325,$1143434050.5,0.123746721,"Health Care Equipment","US",---
,"2685717","COP","ConocoPhillips",30484810,$1139827045.9,0.1233563574,"Oil & Gas Exploration & Production","US",---
,"2320524","EL","Estee Lauder Cos. Inc. Class A",5745506,$1134967255.24,0.1228304127,"Personal Products","US",---
,"2142784","FDX","FedEx Corp.",6684973,$1125749453.2,0.1218328276,"Air Freight & Logistics","US",---
,"BK0VN47","DD","DuPont de Nemours Inc.",20874278,$1116356387.44,0.1208162748,"Specialty Chemicals","US",---
,"B23FN39","LULU","Lululemon Athletica Inc.",3356962,$1092993257.58,0.1182878292,"Apparel, Accessories & Luxury Goods","US",---
,"2779397","SCHW","Charles Schwab Corp.",32961415,$1092670907.25,0.1182529433,"Investment Banking & Brokerage","US",---
,"2367026","GIS","General Mills Inc.",17224507,$1089794557.89,0.117941654,"Packaged Foods & Meats","US",---
,"2807061","CNC","Centene Corp.",16462542,$1074180865.5,0.1162518816,"Managed Health Care","US",---
,"BFYT7B7","DOCU","DocuSign Inc. Class A",4942684,$1071722171.72,0.1159857925,"Application Software","US",---
,"2670519","EXC","Exelon Corp.",27680958,$1068761788.38,0.1156654088,"Electric Utilities","US",---
,"B8KQN82","ETN","Eaton Corp. plc",11365944,$1058510364.72,0.1145559612,"Electrical Components & Equipment","IE",---
,"2313405","EMR","Emerson Electric Co.",16983344,$1053137161.44,0.113974453,"Electrical Components & Equipment","US",---
,"2293819","EBAY","eBay Inc.",18978976,$1049157793.28,0.1135437909,"Internet & Direct Marketing Retail","US",---
,"2257019","CTSH","Cognizant Technology Solutions Corp. Class A",15354287,$1049004887.84,0.1135272429,"IT Consulting & Other Services","US",---
,"2138158","SRE","Sempra Energy",8314671,$1034843952.66,0.1119946934,"Multi-Utilities","US",---
,"BK9DTN5","LHX","L3Harris Technologies Inc.",6135388,$1032769862.04,0.1117702275,"Aerospace & Defense","US",---
,"2614807","XEL","Xcel Energy Inc.",14914413,$1029691073.52,0.1114370295,"Electric Utilities","US",---
,"2365161","GD","General Dynamics Corp.",6928931,$1016751334.94,0.1100366424,"Aerospace & Defense","US",---
,"BD6P5Q0","TWLO","Twilio Inc. Class A",3662212,$1015970853.04,0.1099521758,"Internet Services & Infrastructure","US",---
,"BKF2SL7","BX","Blackstone Group LP Class A",19036845,$1014283101.6,0.109769521,"Asset Management & Custody Banks","US",---
,"BFH3N85","VEEV","Veeva Systems Inc. Class A",3830189,$1013353103.73,0.1096688731,"Health Care Technology","US",---
,"B65LWX6","ORLY","O'Reilly Automotive Inc.",2111049,$1007772571.62,0.109064927,"Automotive Retail","US",---
,"BZ6TS23","SBAC","SBA Communications Corp. Class A",3173650,$988718921,0.1070028695,"Specialized REITs","US",---
,"B4MGBG6","HCA","HCA Healthcare Inc.",7681868,$972831763.52,0.1052835017,"Health Care Facilities","US",---
,"BK6N347","UBER","Uber Technologies Inc.",32078187,$970685938.62,0.1050512725,"Trucking","US",---
,"2459202","IDXX","IDEXX Laboratories Inc.",2410420,$958744555,0.1037589312,"Health Care Equipment","US",---
,"2262864","CSGP","CoStar Group Inc.",1118869,$950770121.44,0.1028959081,"Research & Consulting Services","US",---
,"B424494","SPLK","Splunk Inc.",4516969,$947750435.58,0.1025691063,"Application Software","US",---
,"B0X7DZ3","CMG","Chipotle Mexican Grill Inc. Class A",792529,$915497799.64,0.0990786051,"Restaurants","US",---
,"B665KZ5","GM","General Motors Co.",36652915,$912291054.35,0.0987315591,"Automobile Manufacturers","US",---
,"2746711","ROST","Ross Stores Inc.",10110945,$906648438.15,0.098120894,"Apparel Retail","US",---
,"B8K6ZD1","WDAY","Workday Inc. Class A",4949819,$895521253.48,0.0969166684,"Application Software","US",---
,"2145084","APH","Amphenol Corp. Class A",8408489,$889281796.64,0.096241411,"Electronic Components","US",---
,"2480138","KLAC","KLA Corp.",4404941,$880239360.03,0.0952628046,"Semiconductor Equipment","US",---
,"B4P9W92","VRSK","Verisk Analytics Inc. Class A",4602267,$868493805.57,0.0939916566,"Research & Consulting Services","US",---
,"BHXCF84","DOW","Dow Inc.",21116632,$867048909.92,0.0938352846,"Commodity Chemicals","US",---
,"2302232","CDNS","Cadence Design Systems Inc.",7914933,$864706430.25,0.0935817727,"Application Software","US",---
,"BTN1Y44","WBA","Walgreens Boots Alliance Inc.",21187384,$862538402.64,0.0933471406,"Drug Retail","US",---
,"BVVN4Q8","ES","Eversource Energy",9548477,$860031323.39,0.0930758151,"Electric Utilities","US",---
,"BYY8XK8","WEC","WEC Energy Group Inc.",8957333,$853275541.58,0.092344679,"Multi-Utilities","US",---
,"2867719","SNPS","Synopsys Inc.",4280184,$852698256.48,0.0922822031,"Application Software","US",---
,"2702337","TROW","T. Rowe Price Group Inc.",6143088,$848360452.8,0.0918127497,"Asset Management & Custody Banks","US",---
,"B2972D2","MSCI","MSCI Inc. Class A",2255971,$848199976.58,0.0917953823,"Financial Exchanges & Data","US",---
,"2204026","CLX","Clorox Co.",3580645,$846858348.95,0.0916501864,"Household Products","US",---
,"2852533","PSA","Public Storage",4221438,$843781027.44,0.0913171471,"Specialized REITs","US",---
,"2019952","ALL","Allstate Corp.",8933709,$843252792.51,0.0912599795,"Property & Casualty Insurance","US",---
,"2520153","A","Agilent Technologies Inc.",8747274,$842624904.42,0.0911920271,"Life Sciences Tools & Services","US",---
,"2665861","PCAR","PACCAR Inc.",9825340,$835939927.2,0.0904685538,"Construction Machinery & Heavy Trucks","US",---
,"B62B7C3","TEL","TE Connectivity Ltd.",9378700,$835360809,0.0904058795,"Electronic Manufacturing Services","CH",---
,"2732903","RMD","ResMed Inc.",4107028,$831714240.28,0.0900112341,"Health Care Equipment","US",---
,"2654461","COF","Capital One Financial Corp.",12938905,$825502139,0.0893389372,"Consumer Finance","US",---
,"2769503","TRV","Travelers Cos. Inc.",7196386,$823410486.12,0.0891125707,"Property & Casualty Insurance","US",---
,"BD0Q558","INFO","IHS Markit Ltd.",10192298,$822824217.54,0.0890491225,"Research & Consulting Services","BM",---
,"BZ07BW4","MNST","Monster Beverage Corp.",10467058,$821454711.84,0.0889009095,"Soft Drinks","US",---
,"BDR73G1","IQV","IQVIA Holdings Inc.",5154945,$816491738.55,0.0883637979,"Life Sciences Tools & Services","US",---
,"BY7QL61","JCI","Johnson Controls International plc",21194979,$815582791.92,0.0882654283,"Building Products","IE",---
,"B1Z77F6","BK","Bank of New York Mellon Corp.",22667840,$812642064,0.0879471717,"Asset Management & Custody Banks","US",---
,"2240202","CMI","Cummins Inc.",4193256,$810388654.56,0.0877032993,"Construction Machinery & Heavy Trucks","US",---
,"2170473","STZ","Constellation Brands Inc. Class A",4540139,$809052769.8,0.0875587248,"Distillers & Vintners","US",---
,"2707677","PEG","Public Service Enterprise Group Inc.",14369426,$803825690.44,0.0869930307,"Multi-Utilities","US",---
,"2065955","AZO","AutoZone Inc.",664585,$802433220.7,0.0868423324,"Automotive Retail","US",---
,"2783815","ZBH","Zimmer Biomet Holdings Inc.",5879952,$792970326.72,0.0858182225,"Health Care Equipment","US",---
,"2027342","AIG","American International Group Inc.",24485886,$786976376.04,0.0851695347,"Multi-line Insurance","US",---
,"2098876","YUM","Yum! Brands Inc.",8559109,$779306874.45,0.0843395125,"Restaurants","US",---
,"2318024","EOG","EOG Resources Inc.",16567829,$776202788.65,0.0840035767,"Oil & Gas Exploration & Production","US",---
,"BK531S8","OTIS","Otis Worldwide Corp.",12315940,$772702075.6,0.0836247164,"Industrial Machinery","US",---
,"BFLR866","TWTR","Twitter Inc.",21203691,$771814352.4,0.0835286436,"Interactive Media & Services","US",---
,"B3NQ4P8","KMI","Kinder Morgan Inc.",54702015,$771298411.5,0.0834728066,"Oil & Gas Storage & Transportation","US",---
,"B78C4Y8","PSX","Phillips 66",12412876,$769846569.52,0.0833156828,"Oil & Gas Refining & Marketing","US",---
,"BDB6Q21","WLTW","Willis Towers Watson plc",3662714,$769206567.14,0.0832464193,"Insurance Brokers","IE",---
,"2332262","FAST","Fastenal Co.",16309138,$767181851.52,0.083027297,"Trading Companies & Distributors","US",---
,"BYVG1F6","WCN","Waste Connections Inc.",7465652,$764258795.24,0.0827109529,"Environmental & Facilities Services","CA",---
,"BK9ZQ96","TT","Trane Technologies plc",6806446,$761437114.02,0.08240558,"Building Products","IE",---
,"2197137","CTAS","Cintas Corp.",2513468,$758740585.16,0.0821137515,"Diversified Support Services","US",---
,"B2R3PV1","AWK","American Water Works Co. Inc.",5128720,$755306594.4,0.0817421121,"Water Utilities","US",---
,"2045623","ANSS","ANSYS Inc.",2427794,$754072816.4,0.0816085881,"Application Software","US",---
,"2985677","XLNX","Xilinx Inc.",6913472,$742161219.2,0.0803194703,"Semiconductors","US",---
,"2497406","KR","Kroger Co.",21222750,$738339472.5,0.0799058666,"Food Retail","US",---
,"2615468","F","Ford Motor Co.",111245748,$735334394.28,0.0795806458,"Automobile Manufacturers","US",---
,"2573209","MET","MetLife Inc.",19327579,$731548865.15,0.0791709616,"Life & Health Insurance","US",---
,"BDFZSP1","OKTA","Okta Inc.",3301667,$729602373.66,0.078960305,"Internet Services & Infrastructure","US",---
,"2216850","ED","Consolidated Edison Inc.",9492758,$729328597.14,0.0789306759,"Multi-Utilities","US",---
,"2868165","SYY","Sysco Corp.",13716475,$724915703.75,0.078453096,"Food Distributors","US",---
,"2698470","PPG","PPG Industries Inc.",6709467,$722274122.55,0.0781672142,"Specialty Chemicals","US",---
,"2754060","ROK","Rockwell Automation Inc.",3290924,$717882161.36,0.0776918997,"Electrical Components & Equipment","US",---
,"BK80XH9","MTCH","Match Group Inc.",6978527.97,$716694822.41,0.0775634014,"Interactive Media & Services","US",---
,"2779201","SLB","Schlumberger Ltd.",39488002,$716312356.28,0.0775220095,"Oil & Gas Equipment & Services","CW",---
,"BYX4D52","HPQ","HP Inc.",40623250,$714156735,0.07728872,"Technology Hardware, Storage & Periphera","US",---
,"2819118","PRU","Prudential Financial Inc.",11213450,$710596326.5,0.0769033993,"Life & Health Insurance","US",---
,"2592174","MCHP","Microchip Technology Inc.",6976759,$709745693.07,0.0768113405,"Semiconductors","US",---
,"B3K3L40","MPC","Marathon Petroleum Corp.",18493735,$706460677,0.0764558238,"Oil & Gas Refining & Marketing","US",---
,"B3Q2FJ4","SWK","Stanley Black & Decker Inc.",4538745,$695880383.4,0.0753107847,"Industrial Machinery","US",---
,"2378534","MCK","McKesson Corp.",4603921,$691324777.36,0.07481776,"Health Care Distributors","US",---
,"2026361","AFL","Aflac Inc.",19386949,$689593775.93,0.0746304245,"Life & Health Insurance","US",---
,"2961053","SWKS","Skyworks Solutions Inc.",4735253,$689358131.74,0.0746049222,"Semiconductors","US",---
,"2594653","MRVL","Marvell Technology Group Ltd.",18841243,$687140132.21,0.074364882,"Semiconductors","BM",---
,"2550161","MKC","McCormick & Co. Inc./MD",3513387,$684759126.3,0.0741072006,"Packaged Foods & Meats","US",---
,"2073022","BLL","Ball Corp.",9267685,$682379646.55,0.0738496844,"Metal & Glass Containers","US",---
,"B5BKPQ4","MSI","Motorola Solutions Inc.",4838255,$676388049,0.0732012512,"Communications Equipment","US",---
,"2047317","ADM","Archer-Daniels-Midland Co.",15760501,$675022257.83,0.0730534402,"Agricultural Products","US",---
,"2195841","CHD","Church & Dwight Co. Inc.",6987122,$673069462.26,0.0728421013,"Household Products","US",---
,"BK4N0D7","CARR","Carrier Global Corp.",24637039,$671112942.36,0.0726303594,"Building Products","US",---
